entity_type,entity_name,entity_variant,role,event_count,paper_count,original_variants,domain_id,domain_name,overlay_id,first_seen,last_seen
model,Primate,unknown,primary,10,3,Primate,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:38:01Z,2026-01-23T12:48:18Z
target,OXIDASE,protein,primary,9,4,OXIDASE,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:22:57Z,2026-01-23T12:48:56Z
pathway,TGF-β,pathway,primary,9,7,TGF-β,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:23:00Z,2026-01-23T12:48:50Z
model,CHO,unknown,primary,9,4,CHO,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:32:38Z,2026-01-23T12:51:43Z
assay,WESTERN BLOT,assay,primary,9,5,Western blot,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:27:45Z,2026-01-23T12:47:41Z
pathway,trafficking,pathway,primary,8,5,trafficking,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:30:36Z,2026-01-23T12:49:49Z
target,CAT,protein,primary,8,6,CAT,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:22:52Z,2026-01-23T12:46:44Z
model,BSA,unknown,primary,8,5,BSA,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:28:05Z,2026-01-23T12:49:22Z
model,Ex vivo,unknown,primary,7,4,Ex vivo,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:33:37Z,2026-01-23T12:45:15Z
pathway,necrosis,pathway,primary,7,7,necrosis,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:22:49Z,2026-01-23T12:47:41Z
indication,schizophrenia,disease,primary,7,4,schizophrenia,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:32:03Z,2026-01-23T12:44:40Z
stem_cell,MSC,,primary,7,6,MSC,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:28:20Z,2026-01-23T12:49:21Z
indication,anxiety,disease,primary,7,3,anxiety,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:32:15Z,2026-01-23T12:50:41Z
pathway,secretion,pathway,primary,7,5,secretion,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:23:05Z,2026-01-23T12:48:30Z
target,MTOR,protein,primary,7,5,MTOR,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:24:33Z,2026-01-23T12:51:45Z
model,HIPSC,unknown,primary,7,2,HIPSC,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:23:04Z,2026-01-23T12:44:06Z
pathway,mTOR,pathway,primary,7,5,mTOR,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:24:33Z,2026-01-23T12:51:45Z
target,NRF2,protein,primary,7,4,NRF2,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:22:51Z,2026-01-23T12:48:55Z
indication,COVID-19,disease,primary,6,4,COVID-19,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:36:40Z,2026-01-23T12:47:17Z
model,Cytoplasm,unknown,primary,6,3,Cytoplasm,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:29:15Z,2026-01-23T12:39:05Z
target,PI3K,protein,primary,6,4,PI3K,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:36:07Z,2026-01-23T12:45:07Z
target,TRANSPORTER,protein,primary,6,5,TRANSPORTER,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:23:20Z,2026-01-23T12:44:32Z
assay,signal-to-noise ratio,assay,primary,6,2,signal-to-noise ratio,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:38:51Z,2026-01-23T12:48:09Z
model,Cytoplasmic,unknown,primary,6,4,Cytoplasmic,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:23:11Z,2026-01-23T12:36:43Z
pathway,immune response,pathway,primary,6,5,immune response,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:22:49Z,2026-01-23T12:40:49Z
pathway,cAMP,pathway,primary,6,5,cAMP,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:39:43Z,2026-01-23T12:48:58Z
target,MAPK,protein,primary,6,5,MAPK,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:23:20Z,2026-01-23T12:45:06Z
compound,RAPAMYCIN,drug,primary,6,5,RAPAMYCIN,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:24:34Z,2026-01-23T12:48:58Z
pathway,oxidative stress,pathway,primary,6,5,oxidative stress,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:23:13Z,2026-01-23T12:50:19Z
model,DMEM,unknown,primary,6,4,DMEM,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:41:26Z,2026-01-23T12:46:45Z
pathway,exocytosis,pathway,primary,6,5,exocytosis,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:24:16Z,2026-01-23T12:49:48Z
model,Zebrafish,unknown,primary,6,3,Zebrafish,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:27:37Z,2026-01-23T12:48:05Z
target,AKT,protein,primary,5,3,AKT,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:41:24Z,2026-01-23T12:45:07Z
target,COX-2,protein,primary,5,3,COX-2,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:34:47Z,2026-01-23T12:39:02Z
target,IL6,protein,primary,5,4,IL6,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:40:19Z,2026-01-23T12:49:19Z
model,Extract,unknown,primary,5,2,Extract,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:43:50Z,2026-01-23T12:48:12Z
model,Knockout,unknown,primary,5,5,Knockout,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:23:07Z,2026-01-23T12:50:37Z
indication,pain,disease,primary,5,4,pain,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:32:57Z,2026-01-23T12:50:41Z
pathway,cyclin,pathway,primary,5,2,cyclin,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:37:36Z,2026-01-23T12:43:56Z
stem_cell,pluripotent,,primary,5,5,pluripotent,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:23:00Z,2026-01-23T12:45:15Z
pathway,endocytosis,pathway,primary,5,4,endocytosis,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:35:57Z,2026-01-23T12:49:47Z
pathway,NF-kB,pathway,primary,5,2,NF-kB,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:34:47Z,2026-01-23T12:48:55Z
model,IPSC,unknown,primary,5,4,IPSC,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:23:00Z,2026-01-23T12:40:19Z
assay,selectivity,metric,primary,5,4,selectivity,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:31:25Z,2026-01-23T12:48:19Z
pathway,ferroptosis,pathway,primary,4,2,ferroptosis,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:34:14Z,2026-01-23T12:45:09Z
model,Primates,unknown,primary,4,4,Primates,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:34:58Z,2026-01-23T12:51:52Z
pathway,PI3K/AKT,pathway,primary,4,2,PI3K/AKT,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:41:24Z,2026-01-23T12:45:07Z
stem_cell,organoid,,primary,4,4,organoid,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:36:12Z,2026-01-23T12:44:06Z
pathway,β-catenin,pathway,primary,4,1,β-catenin,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:43:03Z,2026-01-23T12:43:15Z
model,Culture media,unknown,primary,4,1,Culture media,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:48:24Z,2026-01-23T12:48:26Z
indication,malaria,disease,primary,4,2,malaria,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:34:46Z,2026-01-23T12:42:58Z
pathway,STAT3,pathway,primary,4,2,STAT3,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:34:48Z,2026-01-23T12:42:01Z
