entity_name,entity_type,entity_variant,event_count,science_research_v1_score,science_research_v1_bucket,biohacking_curiosity_v1_score,biohacking_curiosity_v1_bucket
neural progenitor,neural_cell,cell_type,3,3.85,stalled,3.85,stalled
neural progenitor cell,neural_cell,cell_type,1,1.00,deprioritized,1.00,deprioritized
mapk,target,protein,7,10.48,promising,7.90,exploratory
nsc,model,unknown,1,2.50,stalled,0.00,deprioritized
unfolded protein response,pathway,pathway,1,2.50,stalled,0.00,deprioritized
fetal bovine serum,model,unknown,12,29.05,strong,15.48,promising
hek293,model,cell_line,7,12.60,strong,6.44,exploratory
airyscan,peptide,,1,0.60,deprioritized,0.60,deprioritized
migration,pathway,pathway,31,70.19,strong,34.50,exploratory
cat,target,protein,9,10.48,exploratory,11.04,promising
in situ,model,unknown,11,25.65,strong,11.96,exploratory
spe,assay,assay,3,9.00,strong,2.25,stalled
transferase,target,protein,5,6.00,promising,6.00,promising
cardiomyocytes,model,unknown,23,54.04,strong,27.28,exploratory
trafficking,pathway,pathway,11,25.58,strong,11.79,exploratory
exocytosis,pathway,pathway,6,15.43,strong,8.13,promising
calcium signaling,pathway,pathway,2,5.00,exploratory,2.00,stalled
nf-kb,pathway,pathway,7,19.97,strong,7.77,exploratory
sw480,model,cell_line,1,2.00,stalled,0.00,deprioritized
pc3,model,cell_line,1,2.00,stalled,0.00,deprioritized
interneuron,neural_cell,cell_type,4,4.70,exploratory,4.95,exploratory
hippocampal neurons,model,unknown,4,9.60,strong,5.05,exploratory
rabbit,model,unknown,12,29.52,strong,14.59,promising
nude mice,model,unknown,3,7.84,promising,3.17,stalled
invasion,pathway,pathway,5,15.30,strong,6.00,promising
rna-seq,assay,assay,4,12.06,strong,3.26,stalled
astrocytes,neural_cell,unknown,392,459.45,exploratory,458.71,exploratory
oligodendrocytes,model,unknown,2,4.00,exploratory,3.00,stalled
oligodendrocytes,neural_cell,cell_type,2,2.00,stalled,3.00,stalled
astrocyte,neural_cell,cell_type,150,172.30,exploratory,171.48,exploratory
neuron,neural_cell,cell_type,60,67.77,exploratory,67.37,exploratory
astrocytic,neural_cell,cell_type,20,20.30,exploratory,20.10,exploratory
tnfa,target,protein,4,5.50,exploratory,3.75,stalled
microglia,neural_cell,unknown,478,546.77,exploratory,545.83,exploratory
il10,target,protein,2,2.00,stalled,2.00,stalled
