entity_type,entity_name,entity_variant,role,event_count,paper_count,original_variants,domain_id,domain_name,overlay_id,first_seen,last_seen
compound,VASOPRESSIN,drug,primary,3,1,VASOPRESSIN,,All Domains,,2026-01-23T12:27:45Z,2026-01-23T12:28:03Z
pathway,inflammatory response,pathway,primary,3,2,inflammatory response,,All Domains,,2026-01-23T12:48:48Z,2026-01-23T12:49:32Z
model,URINE,biofluid,primary,3,2,URINE,,All Domains,,2026-01-23T12:37:05Z,2026-01-23T12:42:53Z
target,FOXO3,protein,primary,3,2,FOXO3,,All Domains,,2026-01-23T13:52:25Z,2026-01-24T16:32:23Z
model,Hepatocytes,unknown,primary,3,3,Hepatocytes,,All Domains,,2026-01-23T13:52:49Z,2026-01-23T13:55:58Z
model,Culture medium,unknown,primary,3,2,Culture medium,,All Domains,,2026-01-23T12:41:26Z,2026-01-23T12:48:27Z
indication,bacterial infection,disease,primary,3,2,bacterial infection,,All Domains,,2026-01-23T12:35:51Z,2026-01-23T12:48:25Z
assay,confocal microscopy,assay,primary,3,2,confocal microscopy,,All Domains,,2026-01-23T12:43:03Z,2026-01-23T12:44:18Z
peptide,DASHEDLINES,,primary,3,2,DASHEDLINES,,All Domains,,2026-01-23T12:28:21Z,2026-01-24T16:33:11Z
target,ION CHANNEL,protein,primary,3,3,ION CHANNEL,,All Domains,,2026-01-23T12:39:47Z,2026-01-23T12:42:25Z
target,SQSTM1,protein,primary,3,2,SQSTM1,,All Domains,,2026-01-23T13:52:45Z,2026-01-24T16:32:24Z
target,P62,protein,primary,3,2,P62,,All Domains,,2026-01-23T13:52:45Z,2026-01-24T16:32:24Z
assay,SEC,assay,primary,3,3,SEC,,All Domains,,2026-01-23T12:29:48Z,2026-01-23T12:42:02Z
compound,RITUXIMAB,drug,primary,3,2,RITUXIMAB,,All Domains,,2026-01-23T12:36:11Z,2026-01-23T12:36:44Z
target,PPARΓ,protein,primary,3,3,PPARΓ,,All Domains,,2026-01-23T12:36:08Z,2026-01-23T12:48:55Z
target,SIRT1,protein,primary,3,3,SIRT1,,All Domains,,2026-01-23T12:42:57Z,2026-01-23T13:55:03Z
target,IL1B,protein,primary,3,2,IL1B,,All Domains,,2026-01-23T12:41:58Z,2026-01-23T12:49:19Z
target,TRYPSIN,protein,primary,3,3,TRYPSIN,,All Domains,,2026-01-23T12:46:44Z,2026-01-23T12:49:21Z
model,Neurobasal,unknown,primary,3,2,Neurobasal,,All Domains,,2026-01-23T12:28:05Z,2026-01-23T12:43:16Z
assay,RNA-seq,assay,primary,2,2,RNA-seq,,All Domains,,2026-01-23T12:45:15Z,2026-01-23T12:49:08Z
assay,radioligand binding,assay,primary,2,1,radioligand binding,,All Domains,,2026-01-23T12:49:33Z,2026-01-23T12:49:36Z
target,ATG7,protein,primary,2,1,ATG7,,All Domains,,2026-01-23T13:57:59Z,2026-01-24T16:34:42Z
model,A549,cell_line,primary,2,2,A549,,All Domains,,2026-01-23T13:54:47Z,2026-01-23T13:54:59Z
indication,anemia,disease,primary,2,1,anemia,,All Domains,,2026-01-23T12:42:52Z,2026-01-23T12:42:57Z
stem_cell,stem-cell,,primary,2,2,stem-cell,,All Domains,,2026-01-23T12:39:58Z,2026-01-23T13:54:32Z
indication,bipolar disorder,disease,primary,2,2,bipolar disorder,,All Domains,,2026-01-23T12:36:28Z,2026-01-23T12:47:36Z
model,HELA,unknown,primary,2,2,HELA,,All Domains,,2026-01-23T12:30:02Z,2026-01-23T13:57:47Z
stem_cell,mesenchymal,,primary,2,2,mesenchymal,,All Domains,,2026-01-23T12:32:19Z,2026-01-23T12:45:09Z
target,PROTEINASE,protein,primary,2,2,PROTEINASE,,All Domains,,2026-01-23T12:43:17Z,2026-01-23T12:45:15Z
